Age,Class of Worker,Educational Attainment,Marital Status,Occupation,Place of Birth,Hours Worked per Week,Sex,Race,Target
41,1,13,4,5260,22,12,1,1,0
21,3,18,4,4640,22,20,0,1,0
21,1,18,4,230,12,15,1,0,0
19,1,18,4,5400,12,15,1,0,0
18,3,17,4,4740,22,20,1,1,0
32,0,13,4,6260,22,40,0,0,0
47,0,15,0,7360,5,40,0,0,0
27,0,15,2,6260,48,40,0,7,1
17,0,10,4,4020,22,25,0,1,0
21,3,18,4,4435,22,35,1,0,0
18,0,17,4,4055,24,10,1,0,0
21,3,18,4,230,22,15,1,7,0
19,0,18,4,5240,48,10,1,8,0
22,0,15,4,4640,22,25,0,0,0
50,0,12,2,4140,22,24,0,1,0
50,1,23,4,2205,457,40,0,1,0
18,0,17,4,4150,22,25,1,1,0
21,4,18,4,4540,22,10,0,1,0
25,3,18,4,4640,343,20,1,1,0
50,0,15,2,7200,22,60,0,8,0
22,4,18,4,9825,4,50,0,1,1
39,0,13,4,4220,22,40,0,1,0
21,0,18,4,4055,151,35,1,0,0
20,4,18,4,9825,21,45,0,0,1
20,0,18,4,4760,22,40,1,0,0
42,0,16,2,7750,22,45,0,0,0
19,3,18,4,5400,22,7,1,1,0
19,3,17,4,4435,22,20,1,1,0
57,1,16,4,4640,110,32,1,0,0
21,1,18,4,4640,22,10,1,0,0
20,0,17,4,6230,22,40,0,0,0
21,1,18,4,5110,29,40,1,1,0
18,0,17,4,4150,22,14,1,0,0
17,0,13,4,9620,48,22,1,8,0
23,0,15,4,6515,17,16,0,1,0
20,0,18,4,5400,22,12,1,8,0
21,0,18,4,1108,17,20,1,5,0
20,0,18,4,5400,22,12,1,8,0
20,0,15,4,5240,9,20,1,0,0
38,0,18,2,6400,22,60,0,1,1
22,4,18,4,9825,4,50,0,1,1
18,0,17,4,9130,22,30,1,0,0
19,0,18,4,9645,22,20,0,0,0
19,4,15,4,9825,28,45,0,0,1
20,0,15,4,2360,210,15,0,5,0
31,0,12,0,4251,22,40,0,1,0
18,3,17,4,2723,22,15,0,1,0
38,3,15,4,3605,34,40,0,1,0
21,0,18,4,335,22,35,0,0,0
30,0,15,4,6260,22,45,0,1,0
28,0,15,0,6050,314,51,0,8,0
20,0,15,4,5240,9,20,1,0,0
19,0,17,4,4720,22,25,1,0,0
22,0,15,4,2920,12,2,1,8,0
50,0,15,2,7200,22,60,0,8,0
22,0,18,4,5000,9,8,1,0,0
42,0,13,3,4020,22,35,0,1,0
31,0,16,4,9620,48,40,0,1,0
18,1,18,4,5260,36,10,1,0,0
26,0,15,4,7750,48,40,0,1,0
40,0,19,4,8300,22,40,1,1,0
21,0,18,4,1970,22,25,1,0,0
19,4,15,4,5040,22,55,0,1,0
39,0,0,0,6050,314,60,0,8,0
19,4,15,4,9825,28,45,0,0,1
22,2,15,4,4030,22,40,0,1,0
19,0,15,4,5240,48,10,1,8,0
21,0,15,4,2920,6,30,1,1,0
42,0,18,2,4220,22,55,0,0,0
41,0,15,4,9620,22,20,0,1,0
20,0,18,4,4055,22,17,1,1,0
20,0,17,4,4030,36,12,0,0,0
28,3,21,4,2205,21,20,0,0,0
19,0,17,4,4720,462,40,0,1,0
19,1,18,4,440,22,10,0,0,0
41,2,11,0,9130,22,40,0,1,0
24,0,15,4,6305,22,80,0,1,0
71,3,12,2,4220,28,40,0,1,0
19,1,15,4,4622,22,39,1,0,0
20,1,15,4,5740,34,9,1,0,0
19,0,18,4,9645,22,20,0,0,0
57,1,15,4,4640,110,32,1,0,0
18,3,17,4,5400,24,7,1,0,0
43,0,19,2,7750,22,45,0,0,0
62,3,15,4,4850,22,40,1,1,0
26,4,18,0,9825,6,40,0,0,0
20,0,18,4,4760,22,40,1,0,0
33,0,15,4,1305,303,50,0,8,0
21,0,18,4,4020,22,25,0,0,0
49,0,12,2,8990,48,40,0,0,0
48,5,20,4,2600,301,10,1,0,0
32,0,12,0,9640,22,45,0,1,0
20,3,18,4,2205,28,15,1,1,0
20,4,15,4,9825,36,45,0,0,1
21,1,18,4,5110,29,40,1,1,0
21,3,18,4,4640,8,20,1,1,0
39,3,11,4,3605,22,40,0,1,0
22,0,18,4,4020,22,38,0,1,0
23,3,20,4,2350,22,4,0,0,0
23,0,15,4,4020,22,35,0,0,0
21,0,18,4,9645,22,20,0,8,0
21,1,18,4,5400,33,20,0,8,0
23,1,17,4,3603,22,52,1,1,0
19,3,15,4,5400,12,10,1,5,0
20,0,18,4,4220,22,30,0,0,0
39,0,0,0,6050,314,60,0,8,0
48,5,20,4,2600,301,10,1,0,0
18,0,17,4,4720,28,30,1,1,0
21,0,18,4,4720,22,25,0,1,0
21,0,18,4,3645,22,20,0,0,0
46,0,9,0,7750,303,40,0,0,0
44,0,13,4,4010,22,40,0,1,1
19,0,12,4,6260,22,40,0,0,0
19,0,18,4,9645,21,8,1,0,0
27,0,16,4,4110,163,20,1,0,0
23,4,15,4,9825,4,50,0,1,1
18,0,17,4,4110,22,40,1,1,0
19,0,15,4,4760,22,14,1,0,0
19,0,18,4,5510,48,12,1,1,0
18,0,17,4,4840,48,2,0,0,0
20,4,15,4,3640,333,50,1,1,0
35,0,11,2,7700,22,45,0,0,0
18,0,17,4,4055,1,10,1,7,0
21,3,18,4,230,22,15,1,7,0
22,0,17,4,4110,28,40,0,1,0
19,0,17,4,4720,462,40,0,1,0
45,0,15,2,6200,22,60,0,1,1
33,3,15,4,2040,22,40,0,1,0
53,3,15,0,3605,22,40,0,1,0
21,3,18,4,4640,22,20,1,1,0
37,0,0,4,310,22,90,0,1,0
20,0,18,4,5240,22,25,1,1,0
21,0,15,4,9645,22,20,0,8,0
25,0,15,4,6305,22,40,0,1,1
20,0,18,4,4720,45,35,1,0,0
60,0,18,2,3930,22,84,0,0,0
40,0,13,4,8300,22,40,1,1,0
22,0,15,4,2920,12,2,1,8,0
21,3,18,4,4640,22,20,1,1,0
20,0,15,4,4640,22,30,0,1,0
21,0,18,4,3930,22,12,0,0,0
57,1,15,4,4640,110,32,1,0,0
62,3,15,4,4850,22,40,1,1,0
25,0,15,4,6260,22,70,0,1,0
21,0,17,4,4230,22,35,1,8,0
22,0,17,4,6230,22,60,0,1,0
34,0,16,4,7750,48,40,0,0,0
18,3,17,4,5400,24,7,1,0,0
21,3,18,4,4640,22,20,1,1,0
30,0,16,4,1555,28,60,0,1,0
19,0,18,4,9645,21,8,1,0,0
19,0,18,4,9645,21,8,1,0,0
53,0,18,0,410,22,40,0,0,0
18,0,17,4,4150,22,25,1,1,0
22,0,10,4,6410,22,40,0,0,0
48,0,13,2,6230,22,40,0,0,0
47,5,19,4,220,22,60,0,8,0
19,4,15,4,9825,42,80,0,1,0
20,4,15,4,9825,36,45,0,0,1
21,1,18,4,4640,53,12,0,0,0
20,4,18,4,750,22,15,0,1,0
21,0,18,4,5860,17,10,1,0,0
21,0,15,4,4110,53,25,1,1,0
18,0,17,4,9645,22,20,0,0,0
20,0,17,4,6230,22,40,0,0,0
21,0,18,4,2320,48,4,0,0,0
21,3,18,4,4640,22,20,1,1,0
22,0,15,4,2920,12,2,1,8,0
21,0,18,4,1555,22,35,0,1,0
18,4,18,4,5240,22,6,1,1,0
42,0,12,2,6260,48,40,0,0,0
19,0,17,4,4720,462,40,0,1,0
28,3,21,4,2205,21,20,0,0,0
62,6,13,0,4251,22,40,0,1,0
30,0,11,4,6260,22,35,0,1,0
18,0,17,4,4150,22,14,1,8,0
46,0,9,4,4020,48,35,0,0,0
17,0,13,4,4020,22,25,0,1,0
22,0,18,4,5000,9,8,1,0,0
20,3,18,4,5400,48,15,1,0,0
20,1,18,4,1970,210,40,1,5,0
21,1,15,4,2545,22,20,1,1,0
18,0,17,4,4720,28,30,1,1,0
20,0,18,4,7330,6,20,1,1,0
26,0,11,4,6260,314,98,0,8,0
41,0,12,4,4251,28,50,0,1,0
19,4,15,4,9825,28,45,0,0,1
19,4,15,4,9825,28,45,0,0,1
18,0,17,4,3603,202,24,1,5,0
20,0,17,4,6230,22,40,0,0,0
41,0,15,0,9645,22,40,0,1,0
18,3,17,4,4640,151,20,1,0,0
21,0,15,4,6050,303,48,0,8,0
42,0,17,4,9620,22,40,1,0,0
36,0,18,4,4720,22,25,1,1,0
20,0,18,4,4055,22,17,1,1,0
44,6,18,4,410,22,52,0,0,0
29,0,15,4,8225,22,40,0,1,0
20,4,19,4,3870,18,45,0,0,0
21,0,15,4,6050,303,48,0,8,0
49,0,16,2,6230,22,40,0,0,0
42,0,13,3,4000,22,40,0,1,1
50,1,23,4,2205,457,40,0,1,0
39,0,13,4,4220,22,40,0,1,0
40,0,15,0,6050,303,51,0,8,0
21,0,18,4,5120,6,12,0,1,0
19,4,15,4,9825,28,45,0,0,1
19,4,15,4,9825,28,45,0,0,1
34,0,16,4,9300,22,84,0,1,0
18,1,18,4,5260,36,10,1,0,0
25,0,17,4,9600,22,51,0,1,0
40,0,17,4,9620,22,40,0,0,0
23,4,15,4,9825,26,40,0,8,0
19,0,18,4,9645,22,20,0,0,0
40,3,21,0,2545,229,20,0,5,0
44,5,16,4,6230,22,20,0,0,0
19,2,18,4,3930,22,28,1,0,0
23,0,15,4,9640,22,40,0,1,0
18,0,19,4,4700,22,25,1,0,0
43,6,15,0,410,22,52,0,1,0
51,2,11,2,9620,48,40,0,8,0
39,0,19,2,9300,22,84,0,2,0
28,0,15,0,6050,314,51,0,8,0
60,0,18,2,3930,22,84,0,0,0
37,5,13,4,9130,24,40,0,1,0
39,0,20,4,7750,303,40,0,0,0
21,3,15,4,1555,22,10,1,8,0
18,3,17,4,410,28,10,0,0,0
20,4,18,4,9825,21,45,0,0,1
21,3,18,4,5860,48,8,1,1,0
22,3,18,4,230,22,15,1,0,0
21,3,18,4,230,22,20,1,5,0
50,1,14,3,6230,22,12,0,0,0
19,0,18,4,5400,48,40,1,1,0
20,0,18,4,9645,22,30,0,1,0
37,0,15,4,9310,22,40,0,0,1
20,4,18,4,9825,21,45,0,0,1
22,0,15,4,9600,22,40,0,1,0
19,0,18,4,4055,22,35,1,8,0
30,0,13,0,6200,22,40,0,8,0
18,1,18,4,5260,36,10,1,0,0
20,0,18,4,5522,48,40,1,1,0
19,0,15,4,4030,22,15,0,1,0
19,0,18,4,4720,6,20,1,1,0
29,0,17,4,4020,72,35,0,1,0
30,0,20,4,6260,22,40,0,1,0
23,0,15,4,6515,17,16,0,1,0
21,0,18,4,4055,151,35,1,0,0
18,3,18,4,1108,22,20,0,1,0
21,4,18,4,4540,22,10,0,1,0
48,0,13,2,6230,22,40,0,0,0
40,0,15,0,6050,303,51,0,8,0
18,0,17,4,4700,22,25,1,0,0
21,0,15,4,2920,6,30,1,1,0
28,3,21,4,2205,21,20,0,0,0
19,0,18,4,4055,22,35,1,8,0
49,0,16,2,6230,22,40,0,0,0
22,3,18,4,230,22,15,1,1,0
19,4,15,4,9825,28,45,0,0,1
23,4,17,4,9825,4,50,0,1,1
27,0,15,4,4110,163,20,1,0,0
19,2,18,4,3930,22,28,1,0,0
18,0,15,4,5240,314,20,1,7,0
41,0,15,0,9645,22,40,0,1,0
19,1,18,4,1970,440,8,1,1,0
22,2,11,0,9620,5,40,0,0,0
42,0,18,2,4220,22,55,0,0,0
20,1,15,4,4640,17,15,1,0,0
27,0,14,4,4110,163,20,1,0,0
22,2,11,0,9620,5,40,0,0,0
57,1,15,4,4640,110,32,1,0,0
18,0,18,4,4110,22,20,1,0,0
21,3,18,4,230,22,15,1,7,0
39,0,12,4,4020,22,34,0,1,0
48,2,21,4,2060,22,40,0,0,0
21,0,18,4,4020,22,25,0,0,0
28,0,15,0,6050,314,51,0,8,0
21,3,18,4,230,48,15,1,0,0
20,4,18,4,750,22,15,0,1,0
21,0,18,4,5240,22,20,1,0,0
25,0,15,4,6260,22,70,0,1,0
40,0,15,0,6050,303,51,0,8,0
46,0,15,0,9645,22,40,0,0,0
48,0,19,4,4000,22,40,0,1,1
45,0,18,0,4251,72,50,0,0,0
21,3,18,4,230,22,15,1,7,0
21,3,18,4,4640,22,20,1,1,0
18,3,17,4,4740,22,20,1,1,0
19,1,18,4,5400,12,15,1,0,0
20,1,15,4,5740,34,9,1,0,0
40,3,21,0,2545,229,20,0,5,0
29,0,12,4,4251,48,50,0,0,0
51,0,17,4,4220,26,40,0,1,0
48,0,13,2,6230,22,40,0,0,0
18,0,17,4,9130,22,30,1,0,0
18,4,17,4,5240,22,6,1,1,0
26,3,18,4,5940,22,40,1,1,0
20,0,18,4,4720,22,30,1,1,0
30,1,16,4,9620,22,40,0,1,0
48,5,20,4,2600,301,10,1,0,0
23,0,15,4,4020,22,35,0,0,0
19,0,18,4,9645,21,8,1,0,0
55,0,15,0,9620,22,40,0,1,0
21,0,18,4,335,22,35,0,0,0
20,0,18,4,9645,22,30,0,1,0
24,4,21,4,3110,51,40,1,0,0
20,4,18,4,9825,21,45,0,0,1
25,0,15,4,8990,22,40,0,1,0
21,0,18,4,2320,48,4,0,0,0
40,0,15,0,6050,303,51,0,8,0
49,2,16,0,6260,22,10,0,1,0
20,0,18,4,4720,22,30,1,1,0
21,3,18,4,4640,22,35,0,0,0
23,3,20,4,2350,22,4,0,0,0
20,0,15,4,4720,22,40,0,1,0
23,0,15,4,6515,17,16,0,1,0
37,0,13,4,4720,22,40,1,0,0
40,0,15,0,6050,303,51,0,8,0
25,0,13,4,4220,22,40,0,1,0
42,0,16,4,8990,22,40,0,1,0
21,3,18,4,4640,22,20,1,1,0
48,0,13,2,6230,22,40,0,0,0
40,3,21,0,2545,229,20,0,5,0
25,0,8,4,6260,314,98,0,8,0
20,5,18,4,5240,22,12,1,1,0
20,0,15,4,4760,13,10,1,1,0
22,1,18,4,5165,22,30,0,0,0
22,0,15,4,51,24,35,0,0,0
18,0,17,4,4150,22,25,1,1,0
20,0,18,4,3421,28,12,1,0,0
20,0,18,4,4220,22,30,0,0,0
18,0,13,4,4130,364,30,1,8,0
19,0,18,4,5400,48,40,1,1,0
52,0,15,4,9620,22,6,0,1,0
23,3,20,4,2350,22,4,0,0,0
20,0,18,4,7330,6,20,1,1,0
24,3,18,4,230,22,15,1,0,0
42,0,16,4,4020,303,35,0,0,0
21,0,18,4,2205,12,30,1,0,0
48,0,16,2,6230,22,40,0,0,0
27,0,16,2,6260,48,40,0,7,1
20,0,18,4,4760,22,40,1,0,0
27,0,15,0,6050,314,51,0,8,0
18,0,17,4,2360,47,3,1,0,0
18,1,18,4,4640,6,10,0,1,0
44,4,18,2,20,22,40,0,0,0
53,0,0,4,9620,22,6,0,1,0
42,0,15,3,4220,22,40,0,0,0
17,0,13,4,4020,22,25,0,1,0
19,0,18,4,9645,22,20,0,0,0
21,0,18,4,3930,22,12,0,0,0
40,0,0,4,8300,22,40,1,1,0
20,4,18,4,9825,21,45,0,0,1
38,2,16,4,4220,22,50,0,0,0
28,0,15,0,6050,314,51,0,8,0
48,5,20,4,2600,301,10,1,0,0
44,5,16,4,6230,22,20,0,0,0
18,0,17,4,9645,22,20,0,0,0
21,3,18,4,4640,22,20,0,1,0
20,0,18,4,5240,22,25,1,1,0
19,3,18,4,3930,22,10,0,1,0
19,0,17,4,4760,22,14,1,0,0
50,0,18,4,7240,22,50,0,0,0
25,0,13,4,6260,22,40,0,1,0
48,0,19,4,4000,22,40,0,1,1
22,1,18,4,5165,22,30,0,0,0
22,0,18,4,4640,22,25,0,0,0
23,0,15,4,4020,22,35,0,0,0
39,0,18,0,6050,314,60,0,8,0
21,0,18,4,6260,22,12,0,0,0
26,5,14,4,9300,22,90,0,0,0
47,5,19,4,220,22,60,0,8,0
19,0,18,4,5400,48,40,1,1,0
19,3,18,4,4640,22,20,1,1,0
50,5,9,2,3602,22,72,1,0,0
20,4,19,4,3870,18,45,0,0,0
28,0,15,0,6050,314,51,0,8,0
19,4,15,4,9825,28,45,0,0,1
22,3,18,4,4640,6,25,1,1,0
38,0,20,4,4020,303,35,0,0,0
23,4,15,4,9825,4,50,0,1,1
34,0,15,4,4251,72,50,0,0,0
22,0,15,4,4220,17,20,0,1,0
24,4,20,4,9030,39,40,0,0,0
18,1,18,4,5400,22,28,1,1,0
20,4,19,4,3870,18,45,0,0,0
24,3,18,4,230,22,15,1,0,0
54,0,16,4,3603,22,48,1,1,0
20,3,18,4,2850,28,20,1,1,0
19,0,18,4,9130,47,30,1,0,0
34,0,12,4,7750,12,40,0,0,0
38,0,10,2,4020,48,45,0,8,0
19,0,18,4,9645,21,8,1,0,0
22,3,18,4,4640,48,20,1,0,0
18,3,17,4,4640,151,20,1,0,0
21,3,15,4,1555,22,10,1,8,0
27,0,15,0,6050,314,51,0,8,0
36,0,13,2,7340,22,40,0,0,0
17,0,12,4,4020,22,25,0,1,0
52,0,15,4,9620,22,6,0,1,0
48,0,13,2,6230,22,40,0,0,0
47,0,15,0,7360,5,40,0,0,0
22,2,15,4,4030,22,40,0,1,0
22,4,18,4,9825,4,50,0,1,1
46,0,16,4,9300,22,84,0,0,0
18,0,13,4,4130,370,30,1,7,0
21,0,11,4,4230,22,35,1,8,0
28,0,15,0,6050,314,51,0,8,0
19,1,15,4,4622,22,39,1,0,0
20,4,15,4,9825,36,45,0,0,1
21,0,15,4,6050,303,48,0,8,0
30,0,15,4,9620,22,6,0,0,0
18,0,18,4,4010,22,5,1,1,0
19,3,18,4,9645,47,25,1,0,0
38,0,12,4,6515,22,30,0,1,0
21,3,18,4,1555,22,10,1,8,0
23,1,20,4,4640,47,40,0,0,0
50,0,18,4,4020,48,35,0,1,0
38,0,16,4,4055,22,40,0,1,0
39,0,0,4,9300,22,84,0,1,0
22,0,18,4,5740,55,20,1,0,0
23,3,10,4,4030,22,40,0,1,0
18,3,17,4,4640,151,20,1,0,0
21,1,18,4,5165,22,30,0,1,0
19,0,18,4,4720,6,20,1,1,0
21,3,18,4,4435,22,35,1,0,0
41,0,19,4,4251,1,50,0,0,0
51,4,12,4,20,22,40,0,0,0
24,0,10,4,4220,22,40,0,1,0
19,0,18,4,5240,48,10,1,8,0
23,0,15,4,4020,22,35,0,0,0
18,3,18,4,5400,12,10,1,5,0
41,1,13,4,5260,22,12,1,1,0
21,3,18,4,8255,21,10,1,1,0
18,3,17,4,410,28,10,0,0,0
47,0,12,2,8140,22,40,0,8,0
18,0,19,4,4110,48,38,0,0,0
21,3,18,4,230,22,20,1,5,0
21,3,18,4,230,48,15,1,0,0
18,0,17,4,4055,24,10,1,0,0
21,3,18,4,4640,22,20,0,1,0
49,1,14,3,6230,22,12,0,0,0
18,0,18,4,4720,48,30,1,1,0
19,0,18,4,2722,22,20,0,0,0
21,1,18,4,5165,22,30,0,1,0
31,0,15,4,6230,22,40,0,0,0
35,4,18,2,9825,329,40,1,8,0
41,0,0,4,8300,22,40,1,1,0
18,0,17,4,4150,22,14,1,0,0
44,0,13,4,4010,22,40,0,1,1
18,0,17,4,9645,22,8,1,7,0
18,0,17,4,4055,22,10,1,0,0
22,0,18,4,4760,22,12,1,0,0
49,0,8,2,6230,22,40,0,0,0
57,1,15,4,4640,110,32,1,0,0
26,5,13,4,9300,22,90,0,0,0
19,0,15,4,4030,22,15,0,1,0
45,6,16,4,410,22,52,0,0,0
21,0,18,4,2320,48,4,0,0,0
22,1,18,4,1007,207,20,0,5,0
19,0,15,4,4720,22,18,1,0,0
21,0,18,4,5860,17,10,1,0,0
22,0,18,4,4020,22,38,0,1,0
19,2,18,4,1530,26,30,0,8,0
23,1,17,4,3603,22,52,1,1,0
20,0,18,4,5240,22,33,0,1,0
44,2,16,4,4030,12,40,0,0,0
20,4,18,4,9825,21,45,0,0,1
35,6,16,0,4210,12,80,0,0,1
25,0,20,0,4110,22,35,1,8,0
23,0,18,0,4240,22,40,0,0,0
48,0,20,0,7330,22,40,0,8,0
47,0,20,0,3421,12,38,1,0,0
48,3,19,0,3255,22,40,1,0,1
49,0,15,0,20,22,70,0,0,1
39,6,15,4,4230,12,30,1,0,0
32,0,19,4,7510,22,40,0,1,0
73,6,18,1,4600,22,27,1,1,0
66,3,18,1,2545,22,37,1,1,0
44,2,18,2,2001,22,45,1,1,0
52,0,22,0,2100,22,50,0,8,1
47,3,20,0,2205,22,40,1,8,1
36,0,21,4,440,341,45,1,5,1
52,5,22,0,3090,5,60,1,1,1
63,0,17,0,3603,22,40,1,0,0
28,3,20,4,1010,37,40,0,0,0
43,0,20,4,8300,314,40,1,8,0
37,0,18,0,7340,6,40,0,8,1
38,0,20,4,5000,22,40,1,0,0
55,2,19,0,3255,22,36,1,0,1
25,0,18,4,220,22,40,0,0,0
34,4,15,4,3423,22,40,0,1,0
63,0,15,0,530,22,4,1,0,0
72,0,17,0,1935,22,72,0,0,0
70,0,15,0,205,22,4,0,0,0
43,0,20,4,4850,1,50,1,0,1
37,1,14,4,8140,22,10,0,1,0
42,3,20,4,4010,22,45,1,0,1
62,5,18,0,4230,314,40,1,8,0
64,0,15,0,4700,314,40,0,8,0
32,0,15,4,5240,22,40,1,8,0
33,0,15,4,9130,22,40,0,8,0
59,6,20,2,10,6,80,0,0,1
58,6,20,2,10,17,80,1,0,1
35,0,21,0,1410,22,40,0,1,1
36,0,15,0,5165,22,40,1,1,0
22,4,17,4,5522,110,60,1,0,0
55,0,15,4,3603,22,40,1,1,1
73,0,18,0,5120,22,4,1,1,0
27,0,15,4,4020,22,40,1,1,0
72,3,18,4,230,22,40,0,0,0
57,2,15,0,9121,22,30,1,0,0
60,0,15,0,7360,22,50,0,0,1
66,0,20,0,20,18,40,0,1,1
31,0,19,0,4040,22,40,0,0,0
61,0,13,2,4110,22,40,1,0,0
71,6,22,0,3090,22,60,0,0,1
71,0,20,0,5860,22,10,1,0,0
55,0,15,0,8990,22,48,0,1,1
54,0,21,0,3255,22,45,1,1,1
30,0,18,4,4435,22,20,0,1,0
51,1,17,0,3500,22,40,1,0,1
54,5,19,0,810,22,40,0,0,1
22,0,15,4,4020,22,30,0,0,0
52,0,18,0,1555,22,40,0,0,1
34,0,17,0,5100,22,40,1,0,0
38,0,17,0,6442,22,40,0,0,1
25,0,15,4,6210,22,40,0,0,0
61,0,15,2,5860,22,30,1,0,0
51,0,19,2,3255,22,40,1,0,1
53,0,15,4,6442,22,40,0,1,0
58,0,18,2,5710,17,39,1,0,1
24,0,20,4,3255,22,40,1,0,0
22,0,17,4,5840,22,40,1,0,0
75,0,20,0,800,22,30,0,0,1
74,0,20,2,710,22,40,0,0,0
43,0,18,4,4330,22,40,1,1,1
54,0,20,2,7510,22,40,0,1,1
75,1,21,0,2752,22,10,1,0,0
32,0,20,4,530,28,28,1,1,0
41,4,15,0,3750,48,40,0,5,1
32,2,17,4,3740,22,48,0,8,0
32,0,20,0,4760,22,50,1,0,1
35,0,20,0,5340,22,40,0,0,1
63,2,19,2,2545,22,35,1,1,0
40,1,21,0,350,39,40,0,0,1
33,0,12,4,5240,22,38,0,0,0
59,5,20,2,4920,22,45,1,0,1
29,0,19,0,3300,40,30,0,0,0
37,0,18,0,2440,22,40,0,0,0
23,4,17,0,9365,29,50,1,8,1
64,1,20,0,6230,109,40,0,0,0
35,0,20,4,5740,22,37,1,5,0
75,2,21,0,2320,22,16,0,0,1
57,0,20,2,4700,22,40,1,1,0
22,0,18,4,4600,22,25,1,1,0
61,0,18,4,3930,22,40,0,1,0
30,0,15,4,5740,22,40,1,0,1
33,4,18,0,9830,48,60,0,0,0
28,0,21,0,9365,42,40,1,0,0
27,2,18,4,3870,22,42,0,0,1
26,0,16,4,9005,40,40,1,0,0
34,6,12,4,6442,51,50,0,0,1
31,6,19,4,910,22,40,1,0,0
56,0,10,0,6230,22,40,1,1,0
58,6,19,0,9130,28,50,0,0,1
46,5,17,4,4510,22,20,1,1,0
51,2,20,0,2310,22,40,1,0,0
46,0,15,0,440,18,40,0,0,0
47,0,21,0,2600,12,60,0,0,1
71,3,15,2,4622,22,25,1,1,0
50,1,19,2,2002,22,20,1,1,0
46,0,16,2,4020,12,40,1,0,0
47,0,20,0,1360,22,40,0,0,1
45,1,20,0,2300,48,23,1,0,0
36,0,18,0,9130,22,20,1,1,0
50,0,19,0,160,22,40,0,1,0
63,0,15,2,5120,110,40,1,0,0
33,0,13,0,6305,22,40,0,0,1
68,0,20,0,2310,22,24,1,2,0
60,0,18,4,4760,22,40,0,0,0
37,5,15,4,9142,6,30,1,7,0
44,0,10,4,3601,22,22,1,1,0
60,2,23,0,230,22,45,0,0,1
53,5,22,0,3230,22,20,1,0,0
32,0,18,0,4110,6,40,1,0,0
31,0,15,0,6200,6,40,0,0,1
29,0,19,4,8740,22,84,0,0,1
25,0,20,4,5720,22,45,1,0,1
68,0,18,0,750,22,54,0,0,0
57,0,19,0,8990,12,40,0,0,1
33,0,15,0,7700,29,50,0,0,1
60,2,15,0,2545,22,40,1,0,0
62,0,15,0,9130,22,40,0,0,1
